titulo,link,precio,rating,bodega,tipo,grado,anada,variedad,origen,vista,nariz,boca,temp_servir ,maridaje,clima,suelo,envejecimiento,tipo2,variedad2,cata,fisico,cata2,fisico2,maridaje2,descripcion,Score_similitud
di­az bayo 8 meses 2022,https://bodeboca.com/vino/diaz-bayo-8-meses-2022,8.9,3.8,bodegas nuestro-diaz-bayo,tinto joven,14.0,2022.0,100% tempranillo,ribera del duero,rojo intenso con destellos violaceos. intenso y brillante.,"nariz intensa de frutas rojas (cereza, fresa) y hierbas aromaticas, con un ligero toque tostado.",amplio y con buena estructura y un predomino de la fruta sobre las notas de crianza.,16.0,"carnes blancas, pastas, ensaladas, tapas y quesos frescos.",continental.,"arcillo-calcareo, calizo.",crianza de 8 meses en barricas de roble frances y americano.,tinto, tempranillo,"rojo intenso con destellos violaceos. intenso y brillante. nariz intensa de frutas rojas (cereza, fresa) y hierbas aromaticas, con un ligero toque tostado. amplio y con buena estructura y un predomino de la fruta sobre las notas de crianza.","continental. arcillo-calcareo, calizo.",rojo intenso destellos violaceos intenso brillante nariz intensa frutas rojas cereza fresa hierbas aromaticas ligero toque tostado amplio buena estructura predomino fruta notas crianza,continental arcillo calcareo calizo,carnes blancas pasta ensaladas tapas quesos fresco,rojo intenso destellos violaceos intenso brillante nariz intensa frutas rojas cereza fresa hierbas aromaticas ligero toque tostado amplio buena estructura predomino fruta notas crianza carnes blancas pasta ensaladas tapas quesos fresco,0.7947593927383423
dehesa gago 2019,https://bodeboca.com/vino/dehesa-gago-2019,9.9,4.2,bodegas compania-de-vinos-telmo-rodriguez,tinto joven,14.0,2019.0,100% tinta de toro,toro,"color rojo picota, con reflejos violaceos, limpio y brillante","nariz con buena intensidad de fruta negra con notas especiadas, violetas y regaliz","concentrado con buen peso frutal, frutas en confitura junto a tonos especiados, tanino bien fundido y final largo.",16.0,"carnes blancas, pastas, ensaladas, tapas y quesos frescos.",continental.,"suelo sobre sedimento de areniscas del terciario que alternan con terrazas de cascajo del cuaternario. en general, de textura franco-arenosa y pobres en materia orgaìnica.",6 meses en depositos de acero inoxidable.,tinto, tinta de toro,"color rojo picota, con reflejos violaceos, limpio y brillante nariz con buena intensidad de fruta negra con notas especiadas, violetas y regaliz concentrado con buen peso frutal, frutas en confitura junto a tonos especiados, tanino bien fundido y final largo.","continental. suelo sobre sedimento de areniscas del terciario que alternan con terrazas de cascajo del cuaternario. en general, de textura franco-arenosa y pobres en materia orgaìnica.",color rojo picota reflejos violaceos limpio brillante nariz buena intensidad fruta negra notas especiadas violetas regaliz concentrado buen peso frutal frutas confitura junto tonos especiados tanino bien fundido final largo,continental suelo sedimento areniscas terciario alternan terrazas cascajo cuaternario general textura franco arenosa pobres materia orga nica,carnes blancas pasta ensaladas tapas quesos fresco,color rojo picota reflejos violaceos limpio brillante nariz buena intensidad fruta negra notas especiadas violetas regaliz concentrado buen peso frutal frutas confitura junto tonos especiados tanino bien fundido final largo carnes blancas pasta ensaladas tapas quesos fresco,0.7946421504020691
rambla de ulea 2020,https://bodeboca.com/vino/rambla-ulea-2020,5.9,3.5,bodegas tercia-ulea,tinto,14.5,2020.0,100% monastrell,bullas,color rojo granate con tonalidades violetas.,frutal con aromas a ciruela y moras.,sabrosa con textura aterciopelada.,16.0,"se puede disfrutar maridandolo con queso de cabra, potajes o platos de cuchara, carnes blancas o un buen cordero al horno.","mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja.",calizos.,,tinto, monastrell,color rojo granate con tonalidades violetas. frutal con aromas a ciruela y moras. sabrosa con textura aterciopelada.,"mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja. calizos.",color rojo granate tonalidades violetas frutal aroma ciruela moras sabrosa textura aterciopelada,mediterraneo inviernos fri veranos calurosos pluviometri baja calizos,puede disfrutar maridandolo queso cabra potajes plato cuchara carnes blancas buen cordero horno,color rojo granate tonalidades violetas frutal aroma ciruela moras sabrosa textura aterciopelada puede disfrutar maridandolo queso cabra potajes plato cuchara carnes blancas buen cordero horno,0.7906696796417236
el hombre bala 2020,https://bodeboca.com/vino/el-hombre-bala-2020,26.9,4.5,productores uvas-felices,tinto,14.5,2020.0,"98% garnacha, 2% cariñena",vinos de madrid,hermoso color rubi­ brillante de intensidad media y reflejos rojizos.,"complejo, con jugosa fruta roja y de bosque, un punto floral de violetas, notas balsamicas refrescantes y unos ligeros recuerdos dulces de vainilla, caramelo y crema pastelera.",entrada intensa y muy refrescante con una buena acidez y unos puntos de hierba fresca. los taninos deslizan el vino por todo el paladar. intenso y con un final muy aromatico de fruta roja.,16.0,"carnes a la plancha, cochinillo al horno, lasaña y cualquier tipo de pasta con carne.",continental.,"pobres, grani­ticos con textura arenosa muy bajos en materia organica y con alto contenido de cuarzo y si­lice.",crianza de 14 meses en tinas y barricas de roble frances.,tinto," garnacha,  cariñena","hermoso color rubi­ brillante de intensidad media y reflejos rojizos. complejo, con jugosa fruta roja y de bosque, un punto floral de violetas, notas balsamicas refrescantes y unos ligeros recuerdos dulces de vainilla, caramelo y crema pastelera. entrada intensa y muy refrescante con una buena acidez y unos puntos de hierba fresca. los taninos deslizan el vino por todo el paladar. intenso y con un final muy aromatico de fruta roja.","continental. pobres, grani­ticos con textura arenosa muy bajos en materia organica y con alto contenido de cuarzo y si­lice.",hermoso color rubi brillante intensidad medium reflejos rojizos complejo jugosa fruta roja bosque punto floral violetas notas balsamicas refrescantes ligeros recuerdos dulces vainilla caramelo crema pastelera entrada intensa refrescante buena acidez puntos hierba fresca taninos deslizan vino paladar intenso final aromatico fruta roja,continental pobres grani ticos textura arenosa bajos materia organica alto contenido cuarzo si louse,carnes plancha cochinillo horno lasaña cualquier tipo pasta carne,hermoso color rubi brillante intensidad medium reflejos rojizos complejo jugosa fruta roja bosque punto floral violetas notas balsamicas refrescantes ligeros recuerdos dulces vainilla caramelo crema pastelera entrada intensa refrescante buena acidez puntos hierba fresca taninos deslizan vino paladar intenso final aromatico fruta roja carnes plancha cochinillo horno lasaña cualquier tipo pasta carne,0.7903833389282227
ramon bilbao li­mite sur 2018,https://bodeboca.com/vino/ramon-bilbao-limite-sur-2018,23.5,3.5,bodegas ramon-bilbao,tinto,14.4,2018.0,100% garnacha,rioja,color rubi­ limpio y brillante.,"intenso y complejo, con notas de fruta roja, fresca, flores, pimienta rosa y notas de monte bajo.","fresco, con buena acidez y tanino amable. un vino en armoni­a, equilibrado y con largo recorrido.",16.0,"perfecto para acompañar con carnes rojas, quesos curados, arroces de carne y caza de pluma.",clima continental-atlantico. añada de perfil atlantico caracterizada por un invierno severo y lluvioso.,"glacis, gravas, arenas y limos.","crianza en anforas, barricas de 600 litros y hormigon; con un ensamblado en barrica francesa durante 10 meses.",tinto, garnacha,"color rubi­ limpio y brillante. intenso y complejo, con notas de fruta roja, fresca, flores, pimienta rosa y notas de monte bajo. fresco, con buena acidez y tanino amable. un vino en armoni­a, equilibrado y con largo recorrido.","clima continental-atlantico. añada de perfil atlantico caracterizada por un invierno severo y lluvioso. glacis, gravas, arenas y limos.",color rubi limpio brillante intenso complejo notas fruta roja fresca flores pimienta rosa notas monte bajo fresco buena acidez tanino amable vino armoni equilibrado largo recorrido,clima continental atlantico añada perfil atlantico caracterizada invierno severo lluvioso glacis gravas arena limo,perfecto acompañar carnes rojas quesos curados arroces carne caza pluma,color rubi limpio brillante intenso complejo notas fruta roja fresca flores pimienta rosa notas monte bajo fresco buena acidez tanino amable vino armoni equilibrado largo recorrido perfecto acompañar carnes rojas quesos curados arroces carne caza pluma,0.7896320223808289
lalomba finca lalinde 2022,https://bodeboca.com/vino/lalomba-finca-lalinde-2022,24.9,3.5,bodegas ramon-bilbao,rosado,13.0,2022.0,"90% garnacha, 10% viura",rioja,"color rosa melocoton de intensidad palida. brillante, limpio y con presencia de lagrimas.","intensidad media con matices complejos. notas de fruta blanca, toques frescos, notas ci­tricas y recuerdos de fruta roja.",buen impacto por su perfecto equilibrio entre acidez y grasa. en retronasal recuerda de nuevo las notas frutales y caracter frutal que vei­amos en nariz. se trata de un vino con armoni­a.,10.0,"ideal con aperitivos y tambien con pescados grasos, sushi o mejillones.",añada marcada por el calor y la sequi­a.,arcillo-calcareo.,crianza de 6 meses sobre li­as.,rosado," garnacha,  viura","color rosa melocoton de intensidad palida. brillante, limpio y con presencia de lagrimas. intensidad media con matices complejos. notas de fruta blanca, toques frescos, notas ci­tricas y recuerdos de fruta roja. buen impacto por su perfecto equilibrio entre acidez y grasa. en retronasal recuerda de nuevo las notas frutales y caracter frutal que vei­amos en nariz. se trata de un vino con armoni­a.",añada marcada por el calor y la sequi­a. arcillo-calcareo.,color rosa melocoton intensidad palida brillante limpio presencia lagrimas intensidad medium matices complejos notas fruta blanca toque fresco notas ci tricas recuerdos fruta roja buen impacto perfecto equilibrio acidez grasa retronasal recuerda nuevo notas frutales caracter frutal vei amos nariz trata vino armoni,añada marcada calor sequi arcillo calcareo,ideal aperitivos tambien pescados grasos sushi mejillones,color rosa melocoton intensidad palida brillante limpio presencia lagrimas intensidad medium matices complejos notas fruta blanca toque fresco notas ci tricas recuerdos fruta roja buen impacto perfecto equilibrio acidez grasa retronasal recuerda nuevo notas frutales caracter frutal vei amos nariz trata vino armoni ideal aperitivos tambien pescados grasos sushi mejillones,0.7887735962867737
jean leon 3055 rose 2022,https://bodeboca.com/vino/jean-leon-3055-rose-2022,12.9,3.5,bodegas jean-leon,rosado,12.0,2022.0,100% pinot noir,penedes,color rosa palido.,en nariz presenta finos aromas a frutas (paraguaya y platano) y frutas citricas (fresas).,"entrada redonda seguida de una acidez presente en todo el recorrido en boca. elegante en el paso y con un final persistente, con recuerdos constantes en fase retronasal.",10.0,"ideal para acompañar tapas, aperitivos y embutidos, asi­ como platos de verdura y pasta, quesos semicurados, asados y carnes blancas.",mediterraneo.,arcillo-calcareo.,,rosado, pinot noir,"color rosa palido. en nariz presenta finos aromas a frutas (paraguaya y platano) y frutas citricas (fresas). entrada redonda seguida de una acidez presente en todo el recorrido en boca. elegante en el paso y con un final persistente, con recuerdos constantes en fase retronasal.",mediterraneo. arcillo-calcareo.,color rosa palido nariz presenta finos aroma frutas paraguaya platano frutas citricas fresas entrada redonda seguida acidez presente recorrido boca elegante paso final persistente recuerdos constantes fase retronasal,mediterraneo arcillo calcareo,ideal acompañar tapa aperitivos embutidos asi plato verdura pasta quesos semicurados asados carnes blancas,color rosa palido nariz presenta finos aroma frutas paraguaya platano frutas citricas fresas entrada redonda seguida acidez presente recorrido boca elegante paso final persistente recuerdos constantes fase retronasal ideal acompañar tapa aperitivos embutidos asi plato verdura pasta quesos semicurados asados carnes blancas,0.7884875535964966
aniago roble 2022,https://bodeboca.com/vino/aniago-roble-2022,8.5,,bodegas diez-siglos,tinto joven,13.5,2022.0,100% tempranillo,ribera del duero,"rojo cereza, brillante y limpio.","notas de frutos rojos envueltas en aromas de vainilla, pimiento verde y endrinas.","equilibrio perfecto entre fruta y madera, muy elegante, vivo, aterciopelado y de intensa retronasal.",14.0,"carnes blancas, pastas, ensaladas, tapas y quesos frescos.",continental.,"aluvial, cascajoso y franco-arenoso.",3 meses en barrica de roble frances nueva.,tinto, tempranillo,"rojo cereza, brillante y limpio. notas de frutos rojos envueltas en aromas de vainilla, pimiento verde y endrinas. equilibrio perfecto entre fruta y madera, muy elegante, vivo, aterciopelado y de intensa retronasal.","continental. aluvial, cascajoso y franco-arenoso.",rojo cereza brillante limpio notas frutos rojos envueltas aroma vainilla pimiento verde endrinas equilibrio perfecto fruta madera elegante vivo aterciopelado intensa retronasal,continental aluvial cascajoso franco arenoso,carnes blancas pasta ensaladas tapas quesos fresco,rojo cereza brillante limpio notas frutos rojos envueltas aroma vainilla pimiento verde endrinas equilibrio perfecto fruta madera elegante vivo aterciopelado intensa retronasal carnes blancas pasta ensaladas tapas quesos fresco,0.7881288528442383
protos roble 2022,https://bodeboca.com/vino/protos-roble-2022,9.25,3.5,bodegas bodegas-protos,tinto joven,14.5,2022.0,100% tinta del pai­s,ribera del duero,color rojo cereza con ribete purpura.,"franca e intensa, donde destacan aromas de fruta roja y negra muy fresca, bien ensamblada con sutiles notas especiadas y agradables tostados.","paso goloso y buena estructura, frutal, fresco, equilibrado y con taninos suaves muy agradables.",16.0,"perfecto para acompañar arroces; pastas; carnes de ave, ternera, cordero y cerdo; embutidos; setas y quesos semicurados.",continental.,"aluvial, cascajoso y franco-arenoso.","el vino paso posteriormente a barricas de roble frances y americano, donde permanecio 6 meses.",tinto, tinta del pais,"color rojo cereza con ribete purpura. franca e intensa, donde destacan aromas de fruta roja y negra muy fresca, bien ensamblada con sutiles notas especiadas y agradables tostados. paso goloso y buena estructura, frutal, fresco, equilibrado y con taninos suaves muy agradables.","continental. aluvial, cascajoso y franco-arenoso.",color rojo cereza ribete purpura franca intensa destacan aroma fruta roja negra fresca bien ensamblada sutiles notas especiadas agradables tostados paso goloso buena estructura frutal fresco equilibrado taninos suaves agradables,continental aluvial cascajoso franco arenoso,perfecto acompañar arroces pasta carnes ave ternera cordero cerdo embutidos seta quesos semicurados,color rojo cereza ribete purpura franca intensa destacan aroma fruta roja negra fresca bien ensamblada sutiles notas especiadas agradables tostados paso goloso buena estructura frutal fresco equilibrado taninos suaves agradables perfecto acompañar arroces pasta carnes ave ternera cordero cerdo embutidos seta quesos semicurados,0.7866590619087219
tagonius blanc 2022,https://bodeboca.com/vino/tagonius-blanc-2022,8.75,2.8,bodegas tagonius,blanco,12.5,2022.0,"sauvignon blanc, malvar",vinos de madrid,"limpio, brillante, color amarillo pajizo con matices metalicos.","intenso, complejo y elegante, destacan los tonos los tonos de frutas de hueso como el melocoton y tambien florales (rosas blancas).","entrada suave y refrescante, muy glicerico y cremoso destaca por su complejidad aromatica y por su frescura dejando un largo y elegante posgusto.",7.0,"aperitivos, platos a base de pescado, marisco, pasta, arroces y carnes blancas. marida con todo tipo de ahumados, quesos suaves y jamon serrano.",continental con influencias mediterraneas.,franco-arcillo-calcareo,a temperatura controlada de 18 ºc en tanques de acero inoxidable.,blanco,"sauvignon blanc, malvar","limpio, brillante, color amarillo pajizo con matices metalicos. intenso, complejo y elegante, destacan los tonos los tonos de frutas de hueso como el melocoton y tambien florales (rosas blancas). entrada suave y refrescante, muy glicerico y cremoso destaca por su complejidad aromatica y por su frescura dejando un largo y elegante posgusto.",continental con influencias mediterraneas. franco-arcillo-calcareo,limpio brillante color amarillo pajizo matices metalicos intenso complejo elegante destacan tonos tonos frutas hueso melocoton tambien florales rosa blancas entrada suave refrescante glicerico cremoso destaca complejidad aromatica frescura dejando largo elegante posgusto,continental influencias mediterraneas franco arcillo calcareo,aperitivos plato base pescado marisco pasta arroces carnes blancas marida tipo ahumados quesos suaves jamon serrano,limpio brillante color amarillo pajizo matices metalicos intenso complejo elegante destacan tonos tonos frutas hueso melocoton tambien florales rosa blancas entrada suave refrescante glicerico cremoso destaca complejidad aromatica frescura dejando largo elegante posgusto aperitivos plato base pescado marisco pasta arroces carnes blancas marida tipo ahumados quesos suaves jamon serrano,0.7865681052207947
marti­nez lacuesta crianza 2019,https://bodeboca.com/vino/martinez-lacuesta-crianza-2019,11.75,4.0,bodegas martinez-lacuesta,tinto crianza,13.5,2019.0,100% tempranillo,rioja,rojo cereza / ribete granate,"intensa, con aromas de fruta madura (frambuesas, cerezas rojas, fresas silvestres y grosellas rojas) con notas de vainilla, caramelo tostado, galletas, cafe y menta dulce.","destaca por su buena acidez, frescura y equilibrio. cuenta con unos taninos suaves y amables.",16.0,"carnes blancas o rojas, caza o quesos curados.",las altas temperaturas y el buen tiempo a mediados de septiembre aseguraron una maduracion perfecta.,arcillo calcareos.,crianza de 24 meses en barricas de roble americano.,tinto, tempranillo,"rojo cereza / ribete granate intensa, con aromas de fruta madura (frambuesas, cerezas rojas, fresas silvestres y grosellas rojas) con notas de vainilla, caramelo tostado, galletas, cafe y menta dulce. destaca por su buena acidez, frescura y equilibrio. cuenta con unos taninos suaves y amables.",las altas temperaturas y el buen tiempo a mediados de septiembre aseguraron una maduracion perfecta. arcillo calcareos.,rojo cereza ribete granate intensa aroma fruta madura frambuesas cerezas rojas fresas silvestres grosellas rojas notas vainilla caramelo tostado galletas cafe menta dulce destaca buena acidez frescura equilibrio cuenta taninos suaves amables,altas temperaturas buen tiempo mediados septiembre aseguraron maduracion perfecta arcillo calcareos,carnes blancas rojas caza quesos curados,rojo cereza ribete granate intensa aroma fruta madura frambuesas cerezas rojas fresas silvestres grosellas rojas notas vainilla caramelo tostado galletas cafe menta dulce destaca buena acidez frescura equilibrio cuenta taninos suaves amables carnes blancas rojas caza quesos curados,0.7864223718643188
comoloco 2022,https://bodeboca.com/vino/comoloco-2022,6.5,3.7,bodegas bodegas-juan-gil,tinto,14.5,2022.0,100% monastrell,jumilla,de color rojo picota y capa media alta.,atractivos aromas florares con matices de frutas maduras.,"tinto equilibrado, fresco, vivo y sabroso con una adecuada acidez y nobles taninos de fruta madura.",14.0,"perfecto con arroces, pastas, pescados blancos y azules, quesos de cabra, platos de verdura y legumbres, setas, ternera, carnes blancas y rojas con salsas cremosas, asi­ como carnes a la parrilla o la plancha.",mediterraneo seco.,arcillo-calcareo.,,tinto, monastrell,"de color rojo picota y capa media alta. atractivos aromas florares con matices de frutas maduras. tinto equilibrado, fresco, vivo y sabroso con una adecuada acidez y nobles taninos de fruta madura.",mediterraneo seco. arcillo-calcareo.,color rojo picota capa medium alta atractivos aroma florares matices frutas maduras tinto equilibrado fresco vivo sabroso adecuada acidez noble taninos fruta madura,mediterraneo seco arcillo calcareo,perfecto arroces pasta pescados blancos azules quesos cabra plato verdura legumbres seta ternera carnes blancas rojas salsa cremosas asi carnes parrilla plancha,color rojo picota capa medium alta atractivos aroma florares matices frutas maduras tinto equilibrado fresco vivo sabroso adecuada acidez noble taninos fruta madura perfecto arroces pasta pescados blancos azules quesos cabra plato verdura legumbres seta ternera carnes blancas rojas salsa cremosas asi carnes parrilla plancha,0.7852373123168945
travesura shiraz 2022,https://bodeboca.com/vino/travesura-shiraz-2022,5.9,2.2,bodegas tercia-ulea,tinto,14.0,2022.0,100% syrah,bullas,color rojo grosella.,"muy franca con aroma intenso donde encontramos trufa, violeta y grosella.","vivo y fresco con una acidez que le aporta largura, buen equilibrio, paso sedoso y buena untuosidad.",14.0,"quesos de cabra, carnes blancas, platos suaves de cuchara, cordero al horno.","mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja.",terrenos arcillosos con alto contenido en calizas.,,tinto, syrah,"color rojo grosella. muy franca con aroma intenso donde encontramos trufa, violeta y grosella. vivo y fresco con una acidez que le aporta largura, buen equilibrio, paso sedoso y buena untuosidad.","mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja. terrenos arcillosos con alto contenido en calizas.",color rojo grosella franca aroma intenso encontramos trufa violeta grosella vivo fresco acidez aporta largura buen equilibrio paso sedoso buena untuosidad,mediterraneo inviernos fri veranos calurosos pluviometri baja terrenos arcillosos alto contenido calizas,quesos cabra carnes blancas platos suaves cuchara cordero horno,color rojo grosella franca aroma intenso encontramos trufa violeta grosella vivo fresco acidez aporta largura buen equilibrio paso sedoso buena untuosidad quesos cabra carnes blancas platos suaves cuchara cordero horno,0.7844979166984558
cvne imperial gran reserva 2012,https://bodeboca.com/vino/cvne-imperial-gran-reserva-2012,125.0,4.3,bodegas imperial,tinto gran reserva,13.5,2012.0,"85% tempranillo, 10% graciano, 5% mazuelo",rioja,intensa capa de color cereza picota con notas rojo burdeos en el ribete.,balsamicos y especias dulces que se entremezclan respetando los aromas a frutos de bosque y regaliz que nos trae recuerdos mediterraneos.,"aterciopelado y graso, marcado por un tanino amable que nos lleva a una retronasal larga y afrutada mostrando su elegancia.",16.0,excelente vino para acompañar los segundos platos de una comida y postres con chocolate.,"la cosecha 2012 ha tenido un ciclo vegetativo de 172 di­as. se ha caracterizado por una sequi­a generalizada en todo el ciclo. cabe destacar el efecto significativo de la lluvia cai­da a finales de septiembre que permitio una completa evolucion de la maduracion, proporcionando un mejor equilibrio final del fruto.",arcillo-calcareo.,crianza de 24 meses en barricas de roble frances y americano.,tinto," tempranillo,  graciano,  mazuelo","intensa capa de color cereza picota con notas rojo burdeos en el ribete. balsamicos y especias dulces que se entremezclan respetando los aromas a frutos de bosque y regaliz que nos trae recuerdos mediterraneos. aterciopelado y graso, marcado por un tanino amable que nos lleva a una retronasal larga y afrutada mostrando su elegancia.","la cosecha 2012 ha tenido un ciclo vegetativo de 172 di­as. se ha caracterizado por una sequi­a generalizada en todo el ciclo. cabe destacar el efecto significativo de la lluvia cai­da a finales de septiembre que permitio una completa evolucion de la maduracion, proporcionando un mejor equilibrio final del fruto. arcillo-calcareo.",intensa capa color cereza picota notas rojo burdeos ribete balsamicos especias dulces entremezclan respetando aroma frutos bosque regaliz trae recuerdos mediterraneos aterciopelado graso marcado tanino amable lleva retronasal larga afrutada mostrando elegancia,cosecha ciclo vegetativo di caracterizado sequi generalizada ciclo cabe destacar efecto significativo lluvia cai da finale septiembre permitio completa evolucion maduracion proporcionando mejor equilibrio final fruto arcillo calcareo,excelente vino acompañar segundos plato comida postres chocolate,intensa capa color cereza picota notas rojo burdeos ribete balsamicos especias dulces entremezclan respetando aroma frutos bosque regaliz trae recuerdos mediterraneos aterciopelado graso marcado tanino amable lleva retronasal larga afrutada mostrando elegancia excelente vino acompañar segundos plato comida postres chocolate,0.784263014793396
vivanco crianza 2020 magnum,https://bodeboca.com/vino/vivanco-crianza-2020-magnum,17.9,,bodegas bodegas-vivanco,tinto crianza,13.5,2020.0,"tempranillo, graciano, maturana tinta",rioja,de color rojo brillante con ligeros ribetes puìrpuras.,"predominan los aromas frescos de frutos rojos, las notas especiadas y de regaliz y los apuntes tostados y ahumados.","fresco, goloso y elegante.",16.0,"ideal con todo tipo de tapas, platos de la cocina mediterraìnea, arroces, legumbres, pasta y carnes blancas y rojas.",privilegiado con influencia atlantica y mediterranea.,arcillo-ferroso.,"crianza de 16 meses en barricas de roble frances y americano, con trasiegos periodicos.",tinto,"tempranillo, graciano, maturana tinta","de color rojo brillante con ligeros ribetes puìrpuras. predominan los aromas frescos de frutos rojos, las notas especiadas y de regaliz y los apuntes tostados y ahumados. fresco, goloso y elegante.",privilegiado con influencia atlantica y mediterranea. arcillo-ferroso.,color rojo brillante ligeros ribetes pu rpuras predominan aromas fresco frutos rojos notas especiadas regaliz apuntes tostados ahumados fresco goloso elegante,privilegiado influencia atlantica mediterranea arcillo ferroso,ideal tipo tapa plato cocina mediterra nea arroces legumbres pasta carnes blancas rojas,color rojo brillante ligeros ribetes pu rpuras predominan aromas fresco frutos rojos notas especiadas regaliz apuntes tostados ahumados fresco goloso elegante ideal tipo tapa plato cocina mediterra nea arroces legumbres pasta carnes blancas rojas,0.783994197845459
honoro vera organic 2022,https://bodeboca.com/vino/honoro-vera-organic-2022,6.5,3.0,bodegas bodegas-juan-gil,tinto,14.5,2022.0,100% monastrell,jumilla,vino de color rojo picota de capa media-alta.,en la nariz destacan atractivos aromas florares con toques de frutas maduras.,"equilibrado y fresco en boca, vivo y sabroso con una adecuada acidez y nobles taninos de fruta madura.",12.0,"es ideal para arroces, pastas, pescados blancos y azules, quesos de cabra, embutido sin mucho pimenton, platos de verdura y legumbres, setas, ternera, carnes blancas y rojas con salsas cremosas y a la plancha o parrilla.",clima continental con condiciones meteorologicas extremas. la pluviometri­a no supera los 300 mm anuales.,suelos calizos.,,tinto, monastrell,"vino de color rojo picota de capa media-alta. en la nariz destacan atractivos aromas florares con toques de frutas maduras. equilibrado y fresco en boca, vivo y sabroso con una adecuada acidez y nobles taninos de fruta madura.",clima continental con condiciones meteorologicas extremas. la pluviometri­a no supera los 300 mm anuales. suelos calizos.,vino color rojo picota capa medium alta nariz destacan atractivos aroma florares toque frutas maduras equilibrado fresco boca vivo sabroso adecuada acidez noble taninos fruta madura,clima continental condiciones meteorologicas extremas pluviometri supera mm anuales suelos calizos,ideal arroces pasta pescados blancos azules quesos cabra embutido pimenton plato verdura legumbres seta ternera carnes blancas rojas salsa cremosas plancha parrilla,vino color rojo picota capa medium alta nariz destacan atractivos aroma florares toque frutas maduras equilibrado fresco boca vivo sabroso adecuada acidez noble taninos fruta madura ideal arroces pasta pescados blancos azules quesos cabra embutido pimenton plato verdura legumbres seta ternera carnes blancas rojas salsa cremosas plancha parrilla,0.7838248610496521
otazu premium cuvee 2020,https://bodeboca.com/vino/otazu-premium-cuvee-2020,11.9,4.6,bodegas otazu,tinto crianza,14.0,2020.0,"35% cabernet sauvignon, 34% merlot, 31% tempranillo",navarra,"color rojo cereza con ribete rojo, de capa media alta.","elegante y de buena intensidad dominada por la fruta. notas de fruta negra, especias dulces (clavo y canela) y matices balsamicos.","amable, de entrada golosa, fresco y equilibrado, con paso firme y un final elegante marcado por su caracter frutal.",16.0,"embutidos, carnes rojas y de caza, todo tipo de quesos, risottos y pescados como atun o ahumados, chocolate negro.","microclima continental de influencia atlantica con relevantes lluvias en primavera e invierno, asi­ como gran luminosidad en verano.",arcillo-calcareo.,crianza de 12 meses en barrica de roble frances de diferentes bosques. posteriormente pasa 14 meses en botella.,tinto," cabernet sauvignon,  merlot,  tempranillo","color rojo cereza con ribete rojo, de capa media alta. elegante y de buena intensidad dominada por la fruta. notas de fruta negra, especias dulces (clavo y canela) y matices balsamicos. amable, de entrada golosa, fresco y equilibrado, con paso firme y un final elegante marcado por su caracter frutal.","microclima continental de influencia atlantica con relevantes lluvias en primavera e invierno, asi­ como gran luminosidad en verano. arcillo-calcareo.",color rojo cereza ribete rojo capa medium alta elegante buena intensidad dominada fruta notas fruta negra especias dulces clavo canela matices balsamicos amable entrada golosa fresco equilibrado paso firme final elegante marcado caracter frutal,microclima continental influencia atlantica relevantes lluvias primavera invierno asi gran luminosidad verano arcillo calcareo,embutidos carnes rojas caza tipo quesos risotto pescados atun ahumados chocolate negro,color rojo cereza ribete rojo capa medium alta elegante buena intensidad dominada fruta notas fruta negra especias dulces clavo canela matices balsamicos amable entrada golosa fresco equilibrado paso firme final elegante marcado caracter frutal embutidos carnes rojas caza tipo quesos risotto pescados atun ahumados chocolate negro,0.7837169170379639
